strain,sex,id,bw,center_time,center_dist,periphery_time,periphery_dist,periphery_dist_pct,activity,lean,rear,jump,defec,groom_freq,groom_dur,groom_bout,task_time_d1,task_time_d2,task_time_d3,task_time_d4,task_time_d5,num_arms_d1,num_arms_d2,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_adj_d3,num_arms_adj_d4,num_arms_adj_d5,num_arms_adj_d3_d5,errors_d1,errors_d2,errors_d3,errors_d4,errors_d5,errors_d3_d5,visit_time_d3,visit_time_d4,visit_time_d5,visit_time_d3_d5,latency_d1,latency_d2,attack_d1,attack_d2,attack_combine,brain_wt,brain_wt_pct,hippocampus_L,hippocampus_R,iipmf_L,iipmf_R,iipmf_pct_L,iipmf_pct_R,iipmf_pct_mean,hilus_L,hilus_R,hilus_pct_L,hilus_pct_R,hilus_pct_mean,supra_L,supra_R,supra_pct_L,supra_pct_R,supra_pct_mean,pyr_L,pyr_R,pyr_pct_L,pyr_pct_R,pyr_pct_mean,oriens_L,oriens_R,oriens_pct_L,oriens_pct_R,oriens_pct_mean,rad_L,rad_R,rad_pct_L,rad_pct_R,rad_pct_mean,lacun_L,lacun_R,lacun_pct_L,lacun_pct_R,lacun_pct_mean
BXD101,f,1836,22.20,38,6020,62,6409,51.56,12429,188,145,12,0,15,54.32,3.621,330,469,199,253,276,5,6,6,4,6,0.7000,-1.300,0.7000,0.03333,9,9,7,9,6,22,13.27,14.88,19.71,15.95,,,,,,0.3900,1.757,1703609,1745199.6,26888.4,35568.8,1.578,2.038,1.808,160614.6,157736.2,9.428,9.038,9.233,187631.8,198324.4,11.01,11.36,11.19,256562.4,258067.6,15.06,14.79,14.92,498608,516451.4,29.27,29.59,29.43,471084.8,478331.6,27.65,27.41,27.53,129107.4,136288.4,7.578,7.809,7.694
BXD101,f,1837,20.90,17,1601,83,6094,79.19,7695,142,35,11,3,5,135.1,27.02,646,136,967,251,118,3,7,5,6,6,-0.3000,0.7000,0.7000,0.3667,17,6,8,10,6,24,60.44,13.94,8.429,27.60,,,,,,0.4000,1.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD101,f,2871,20.30,17,2139,83,6387,74.91,8526,204,39,43,10,12,100.7,8.393,798,484,379,219,1800,5,5,6,6,4,0.7000,0.7000,-1.300,0.03333,5,10,13,9,1,23,18.05,12.88,200,76.98,,,,,,0.4100,2.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD101,f,2872,22.30,27,3893,73,5439,58.28,9332,170,83,2,3,2,19.76,9.880,481,284,301,221,79,5,4,4,6,8,-1.300,0.7000,2.700,0.7000,13,13,7,4,0,11,20.07,18.42,9.875,16.12,,,,,,0.4200,1.883,1512763.2,1374323.2,36579.2,34805,2.418,2.533,2.475,151015,141653.8,9.983,10.31,10.14,184064,161045,12.17,11.72,11.94,239580.4,213230.2,15.84,15.52,15.68,445172.2,415902.8,29.43,30.26,29.85,389294.4,363422.4,25.73,26.44,26.09,103637.2,79069,6.851,5.753,6.302
BXD101,m,1520,25.30,39,5058,61,5749,53.20,10807,97,126,8,4,4,19.36,4.840,258,130,202,213,388,6,6,5,5,4,-0.3000,-0.3000,-1.300,-0.6333,12,2,12,9,26,47,10.10,12.53,11.41,11.35,600,600,0,0,0,0.3700,1.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD101,m,1521,25.30,36,5462,64,5967,52.21,11429,96,158,24,4,3,43.44,14.48,316,327,333,145,355,6,6,5,6,6,-0.3000,0.7000,0.7000,0.3667,14,16,21,5,21,47,11.48,11.15,12.24,11.63,600,600,0,0,0,0.3900,1.542,1466872.6,1604991.4,48663.8,42373,3.318,2.640,2.979,151190.4,155710.4,10.31,9.702,10.00,170229,180712.8,11.60,11.26,11.43,267569.4,279016.4,18.24,17.38,17.81,411380.4,444692,28.04,27.71,27.88,378558,436969,25.81,27.23,26.52,87945.4,107890.8,5.995,6.722,6.359
BXD101,m,1839,26.10,20,2130,80,6591,75.58,8721,152,76,45,2,6,127.7,21.28,227,188,133,114,175,6,6,6,5,5,0.7000,-0.3000,-0.3000,0.03333,9,5,5,4,10,19,10.23,9.500,9.722,9.818,600,488,0,1,1,0.4000,1.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD101,m,1840,27.90,23,2954,77,5509,65.10,8463,53,13,0,5,12,130.8,10.90,343,266,277,272,158,4,6,6,6,6,0.7000,0.7000,0.7000,0.7000,11,14,3,18,4,25,25.18,10.46,13.17,16.27,242,600,1,0,1,0.3900,1.398,1886737,1715722.6,21810,23699,1.156,1.381,1.269,197550.2,202212.2,10.47,11.79,11.13,181405.8,172511.4,9.615,10.05,9.835,283171.4,235710.8,15.01,13.74,14.37,627748.6,549605.8,33.27,32.03,32.65,489580.6,462025.6,25.95,26.93,26.44,107280.4,93656.8,5.686,5.459,5.572
BXD101,m,2873,27.50,28,2314,72,5680,71.05,7994,185,72,19,5,10,66.16,6.616,363,652,125,142,110,5,5,6,6,6,0.7000,0.7000,0.7000,0.7000,6,25,9,4,3,16,7.353,11.83,10,9.729,,,,,,0.4100,1.491,1362921.8,1332778.4,39908,36431.4,2.928,2.733,2.831,117586.2,126318.4,8.628,9.478,9.053,170108.4,156476,12.48,11.74,12.11,196634.4,198276.6,14.43,14.88,14.65,445674.8,404906.2,32.70,30.38,31.54,359411.2,358207.6,26.37,26.88,26.62,73506.8,88593.6,5.393,6.647,6.020
BXD101,m,2874,27.10,36,3457,64,4872,58.49,8329,161,65,19,0,3,40.80,13.60,340,261,196,233,108,6,7,7,5,6,1.700,-0.3000,0.7000,0.7000,4,10,3,13,4,20,17.82,11.10,9,12.64,,,,,,0.4000,1.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
